gameid,homeTeam,homeId,awayTeam,awayId,preShotsHome,preHitsHome,prePenaltiesHome,preShotsAway,preHitsAway,prePenaltiesAway,preShotsTotal,preHitsTotal,prePenaltiesTotal,fightTime,player1Id,player1Name,player2Id,player2Name,postShotsHome,postHitsHome,postPenaltiesHome,postShotsAway,postHitsAway,postPenaltiesAway,postShotsTotal,postHitsTotal,postPenaltiesTotal
2015021148,Vancouver Canucks,23,San Jose Sharks,28,39.6,15.84,0.0,15.84,19.8,3.96,55.45,35.64,3.96,15:12,8476388.0,Andrey Pedan,8474230.0,Micheal Haley,17.41,21.43,6.7,30.8,13.39,2.68,48.21,34.82,9.38
2015021153,New York Islanders,2,Columbus Blue Jackets,29,33.73,30.66,0.0,3.07,30.66,3.07,36.8,61.33,3.07,19:34,8475314.0,Anders Lee,8474774.0,Dalton Prout,17.81,14.84,5.94,29.68,26.71,4.45,47.49,41.55,10.39
2015021156,Tampa Bay Lightning,14,Montréal Canadiens,8,42.6,21.3,2.37,30.77,14.2,2.37,73.37,35.5,4.73,25:21,8476539.0,Jonathan Marchessault,8476379.0,Darren Dietz,13.85,27.71,0.0,13.85,29.44,6.93,27.71,57.14,6.93
2015021159,Dallas Stars,25,Arizona Coyotes,53,27.47,19.84,3.05,30.52,33.57,3.05,57.99,53.41,6.1,39:21,8474005.0,Alex Grant,8474098.0,Colton Sceviour,31.96,20.34,8.72,31.96,11.62,8.72,63.92,31.96,17.43
2015021159,Dallas Stars,25,Arizona Coyotes,53,27.58,22.98,4.6,28.73,28.73,4.6,56.3,51.71,9.19,52:23,8474554.0,Eric Selleck,8474818.0,Jordie Benn,39.39,0.0,7.88,47.26,7.88,7.88,86.65,7.88,15.75
2015021167,New York Islanders,2,Pittsburgh Penguins,5,19.08,6.36,3.18,38.16,9.54,9.54,57.24,15.9,12.72,19:09,8474013.0,Ian Cole,8474709.0,Matt Martin,26.44,23.5,10.28,23.5,11.75,8.81,49.94,35.25,19.09
2015021177,Arizona Coyotes,53,Washington Capitals,15,20.62,15.46,0.0,23.19,23.19,2.58,43.81,38.65,2.58,23:32,8477220.0,Nate Schmidt,8477503.0,Max Domi,26.33,19.74,4.94,36.2,26.33,0.0,62.52,46.07,4.94
2015021181,Colorado Avalanche,21,St. Louis Blues,19,32.03,20.94,4.93,34.5,13.55,4.93,66.53,34.5,9.86,48:49,8476892.0,Colton Parayko,8476455.0,Gabriel Landeskog,21.46,26.83,5.37,32.19,0.0,5.37,53.65,26.83,10.73
2015021183,New York Islanders,2,Tampa Bay Lightning,14,21.58,43.16,10.79,32.37,17.98,3.6,53.95,61.14,14.39,16:43,8477506.0,Ryan Pulock,8476975.0,Cedric Paquette,34.66,36.04,2.77,31.88,26.34,4.16,66.54,62.38,6.93
2015021188,Boston Bruins,6,Carolina Hurricanes,12,22.36,55.9,0.0,11.18,11.18,0.0,33.54,67.08,0.0,05:53,8474625.0,Jimmy Hayes,8474089.0,Brad Malone,29.14,13.76,3.24,24.29,13.76,4.05,53.43,27.52,7.29
2015021191,Washington Capitals,15,New York Islanders,2,21.24,26.55,0.0,37.17,15.93,5.31,58.41,42.48,5.31,11:18,8475247.0,Michael Latta,8476429.0,Scott Mayfield,29.46,20.03,4.71,18.85,34.17,3.54,48.31,54.21,8.25
2015021194,Nashville Predators,18,Colorado Avalanche,21,0.0,65.85,0.0,0.0,21.95,0.0,0.0,87.8,0.0,02:48,8471760.0,Cody Bass,8471657.0,Cody McLeod,25.17,13.64,3.15,26.22,13.64,3.15,51.4,27.27,6.29
2015021195,Minnesota Wild,30,San Jose Sharks,28,25.73,17.15,3.43,18.87,22.3,5.15,44.59,39.45,8.58,35:02,8475613.0,Nate Prosser,8474739.0,Tommy Wingels,33.64,28.84,2.4,14.42,7.21,2.4,48.06,36.05,4.81
2015021203,New Jersey Devils,1,Tampa Bay Lightning,14,17.76,23.68,5.92,23.68,11.84,5.92,41.45,35.53,11.84,10:16,8476769.0,Bobby Farnham,8471663.0,Mike Blunden,20.51,18.1,3.62,16.89,10.86,3.62,37.4,28.95,7.24
2015021210,Chicago Blackhawks,16,St. Louis Blues,19,21.98,28.75,5.07,25.36,27.05,3.38,47.35,55.8,8.45,35:34,8471817.0,Ryan Reaves,8474850.0,Brandon Mashinter,23.53,17.11,2.14,38.5,21.39,6.42,62.03,38.5,8.56
2015021212,Calgary Flames,20,Vancouver Canucks,23,43.01,9.93,6.62,29.78,16.54,3.31,72.79,26.47,9.93,18:08,8475650.0,Brandon Bollig,8473432.0,Derek Dorsett,32.96,5.73,4.3,21.5,17.2,4.3,54.46,22.93,8.6
2015021213,Los Angeles Kings,26,Anaheim Ducks,24,31.78,34.67,11.56,11.56,37.56,11.56,43.34,72.23,23.11,21:08,8474568.0,Luke Schenn,8470612.0,Ryan Getzlaf,27.79,30.87,3.09,23.16,32.42,4.63,50.94,63.29,7.72
2015021216,Boston Bruins,6,Ottawa Senators,9,37.97,25.68,1.12,32.38,33.5,3.35,70.35,59.18,4.47,53:44,8476525.0,Colin Miller,8476477.0,Matt Puempel,47.87,9.57,0.0,9.57,0.0,28.72,57.45,9.57,28.72
2015021218,Philadelphia Flyers,4,Pittsburgh Penguins,5,35.32,24.02,2.83,18.37,26.84,4.24,53.69,50.86,7.06,42:28,8473542.0,Tom Sestito,8471762.0,Chris VandeVelde,27.38,13.69,3.42,17.11,20.53,6.84,44.49,34.22,10.27
2015021220,Montréal Canadiens,8,Tampa Bay Lightning,14,24.66,20.55,4.11,18.49,32.88,8.22,43.15,53.42,12.33,29:29,8474038.0,Paul Byron,8476480.0,Vladislav Namestnikov,23.59,15.73,3.93,23.59,35.39,7.86,47.19,51.12,11.8
2015021230,San Jose Sharks,28,Arizona Coyotes,53,29.33,7.33,7.33,43.99,14.66,7.33,73.32,22.0,14.66,08:17,8471392.0,Roman Polak,8462038.0,Shane Doan,31.32,11.6,3.48,16.24,18.56,8.12,47.57,30.16,11.6
2015020704,Washington Capitals,15,Anaheim Ducks,24,23.58,7.86,0.0,23.58,31.44,3.93,47.16,39.3,3.93,15:20,8470886.0,Clayton Stoner,8475247.0,Michael Latta,24.18,9.4,6.72,17.46,9.4,4.03,41.64,18.81,10.75
2016020001,Ottawa Senators,9,Toronto Maple Leafs,10,35.87,26.9,0.0,17.93,26.9,0.0,53.8,53.8,0.0,13:25,8474697.0,Mark Borowiecki,8474709.0,Matt Martin,21.61,30.51,6.36,38.14,19.07,5.08,59.75,49.58,11.44
2016020003,Edmonton Oilers,22,Calgary Flames,20,7.83,23.5,0.0,19.59,35.26,3.92,27.42,58.76,3.92,15:20,8473473.0,Milan Lucic,8468674.0,Deryk Engelland,25.52,25.52,5.37,42.99,20.15,10.75,68.51,45.67,16.12
2016020009,Tampa Bay Lightning,14,Detroit Red Wings,17,29.57,15.65,1.74,24.35,13.91,5.22,53.91,29.57,6.96,34:30,8477205.0,Andrej Sustr,8474090.0,Brendan Smith,30.59,30.59,11.76,32.94,32.94,21.18,63.53,63.53,32.94
2016020009,Tampa Bay Lightning,14,Detroit Red Wings,17,32.58,20.22,5.62,28.09,22.47,8.99,60.67,42.7,14.61,53:24,8476292.0,Ondrej Palat,8470318.0,Jonathan Ericsson,9.09,36.36,9.09,27.27,18.18,36.36,36.36,54.55,45.45
2016020007,Pittsburgh Penguins,5,Washington Capitals,15,33.71,53.93,6.74,33.71,33.71,0.0,67.42,87.64,6.74,08:54,8473542.0,Tom Sestito,8476880.0,Tom Wilson,19.41,22.78,1.69,30.38,13.5,2.53,49.79,36.29,4.22
2016020014,Nashville Predators,18,Chicago Blackhawks,16,33.56,21.57,2.4,11.98,19.17,7.19,45.54,40.75,9.59,25:21,8469547.0,Jordin Tootoo,8475868.0,Anthony Bitetto,17.32,17.32,10.39,29.44,5.19,8.66,46.75,22.51,19.05
2016020014,Nashville Predators,18,Chicago Blackhawks,16,31.51,17.72,3.94,11.82,15.75,9.85,43.33,33.48,13.79,30:40,8473604.0,Jonathan Toews,8471707.0,James Neal,16.36,20.45,10.23,32.73,6.14,6.14,49.09,26.59,16.36
2016020017,Toronto Maple Leafs,10,Boston Bruins,6,0.0,26.87,0.0,53.73,26.87,0.0,53.73,53.73,0.0,02:16,8470655.0,David Backes,8475172.0,Nazem Kadri,20.79,28.06,6.24,22.86,23.9,5.2,43.65,51.96,11.43
2016020017,Toronto Maple Leafs,10,Boston Bruins,6,15.97,29.66,5.7,23.95,26.24,5.7,39.92,55.89,11.41,52:36,8474709.0,Matt Martin,8465009.0,Zdeno Chara,48.65,16.22,0.0,24.32,8.11,8.11,72.97,24.32,8.11
2016020024,Minnesota Wild,30,Winnipeg Jets,52,29.16,24.3,4.86,14.58,14.58,8.1,43.74,38.88,12.96,37:05,8473485.0,Chris Stewart,8469501.0,Chris Thorburn,23.56,13.09,2.62,13.09,10.47,2.62,36.65,23.56,5.24
2016020035,Detroit Red Wings,17,Ottawa Senators,9,21.43,0.0,10.71,53.57,32.14,0.0,75.0,32.14,10.71,05:48,8470602.0,Dion Phaneuf,8470318.0,Jonathan Ericsson,19.93,22.14,6.64,28.78,19.93,7.75,48.71,42.07,14.39
